Občina,Površina km2,Št. naselij,Št. prebivalcev,Moški,Ženske,0-14 let,15-64 let,65+ let,Naravni prirastek,Povprečna bruto plača,Delovno aktivno prebivalstvo,Registrirane brezposelne osebe,Število OŠ,Število osnovnošolcev,Število dijakov,Število študentov,Ustanovitev,Pokrajina,Statistična regija
Sodražica,49.5,23,2183,1111,1072,374,1382,427,6,1287.46,855,80,1,226,78,77,1998,Dolenjska,Jugovzhodna
Solčava,102.8,4,521,256,265,78,338,105,5,1366.31,182,31,1,28,22,20,1998,Štajerska,Savinjska
Središče ob Dravi,32.7,5,2029,1012,1017,272,1326,431,4,1484.98,797,108,1,138,63,72,2006,Štajerska,Podravska
Starše,34,8,4056,1968,2088,584,2692,780,-3,1240.25,1563,217,2,336,162,143,1994,Štajerska,Podravska
Straža,28.5,11,3837,1923,1914,597,2576,664,16,1313.71,1588,162,1,313,158,166,2006,Dolenjska,Jugovzhodna
Sveta Ana,37.2,12,2319,1151,1168,364,1572,383,5,1404.67,789,92,2,223,93,88,1998,Štajerska,Podravska
Sveta Trojica v Slov. goricah,25.9,8,2058,1053,1005,258,1447,353,5,1260.23,817,89,1,170,83,95,1998,Štajerska,Podravska
Sveti Andraž v Slov. goricah,17.6,7,1153,595,558,169,835,149,-1,1388.73,433,40,1,61,56,45,1998,Štajerska,Podravska
Sveti Jurij ob Ščavnici,51.3,27,2856,1427,1429,459,1892,505,-2,1357.71,1034,185,1,248,106,106,1994,Štajerska,Pomurska
Sveti Jurij v Slov. goricah,30.7,8,2088,1058,1030,313,1410,365,9,1393.17,827,73,1,172,101,84,2006,Štajerska,Podravska
Sveti Tomaž,38.1,17,2031,1011,1020,293,1387,351,-2,1419.03,837,126,1,165,92,73,2006,Štajerska,Podravska
Šalovci,58.2,6,1436,712,724,136,957,343,-1,1251.2,466,98,2,63,48,48,1994,Prekmurje,Pomurska
Šempeter - Vrtojba,14.9,2,6286,3126,3160,857,4054,1375,33,1584.64,2415,300,2,615,204,280,1998,Primorska,Goriška
Šenčur,40.3,12,8585,4314,4271,1491,5699,1395,35,1555.97,3575,272,4,766,397,364,1994,Gorenjska,Gorenjska
Šentilj,65,22,8417,4176,4241,1172,5775,1470,-6,1330.81,2998,426,4,651,299,217,1994,Štajerska,Podravska
Šentjernej,96,58,7017,3523,3494,1213,4701,1103,37,1581.23,3021,345,2,634,283,296,1994,Dolenjska,Jugovzhodna
Šentjur,222.3,108,18996,9452,9544,2971,12700,3325,36,1300.73,7632,1063,11,1703,767,808,1991,Štajerska,Savinjska
Šentrupert,49.1,25,2917,1724,1193,394,2090,433,3,1504.11,978,99,1,217,124,96,2006,Dolenjska,Jugovzhodna
